Model,Recall,Precision,F1,ROC-AUC,PR-AUC,Recall SD,Fit time (s)
Logistic Regression,0.749315492215684,0.34899857957024405,0.47620097542991785,0.8020626715385355,0.43955269055026563,0.005159302063135524,0.46079263687133787
Decision Tree,0.7346844699673001,0.3407087655910966,0.46527137598213375,0.7902856133145261,0.41753011671280804,0.0176655372569522,0.3132615089416504
Gaussian Naive Bayes,0.7088508844380307,0.32699673437793136,0.44753589096408525,0.762235873299212,0.37359417947277096,0.006094655522255126,0.10018668174743653
LightGBM,0.7715300239880657,0.3458389821642988,0.47759336897549287,0.8087683458555202,0.4599700353780623,0.004532153797966657,1.4088545322418213
