Model,Accuracy,Balanced Acc,Precision,Recall,F1,ROC-AUC,PR-AUC
LightGBM,0.7081882781604051,0.7332390938374035,0.3458389821642988,0.7715300239880657,0.47759336897549287,0.8087683458555202,0.4599700353780623
Logistic Regression,0.7150100093334821,0.7285773676640305,0.34899857957024405,0.749315492215684,0.47620097542991785,0.8020626715385355,0.43955269055026563
Decision Tree,0.7078509428545179,0.71846326907825,0.3407087655910966,0.7346844699673001,0.46527137598213375,0.7902856133145261,0.41753011671280804
Gaussian Naive Bayes,0.697411666664669,0.7019356963740475,0.32699673437793136,0.7088508844380307,0.44753589096408525,0.762235873299212,0.37359417947277096
